date,Apple,Amazon,Google,Microsoft,Tesla,"('date', '')",positive_sentiment,negative_sentiment,total_sentiment
3/10/2015,31.12750053,369.5100098,553.4904175,42.02999878,38.06399918,3/10/2015,0.11925641,0.031948718,0.128966667
3/11/2015,30.55999947,366.3699951,549.6708984,41.97999954,38.7480011,3/11/2015,0.101461538,0.096846154,0.028926923
3/12/2015,31.11249924,374.2399902,553.9890137,41.02000046,38.2140007,3/12/2015,0.086058824,0.032705882,0.118135294
3/13/2015,30.89749908,370.5799866,545.8214722,41.38000107,37.73600006,3/13/2015,0.049666667,0.031833333,0.048088889
3/16/2015,31.23749924,373.3500061,552.9917603,41.56000137,39.13999939,3/16/2015,0.097272727,0.082636364,-0.007009091
3/17/2015,31.76000023,371.9200134,549.3317871,41.70000076,38.94599915,3/17/2015,0.108181818,0.069636364,0.078722727
3/18/2015,32.11750031,375.1400146,557.9680786,42.5,40.14199829,3/18/2015,0.152764706,0.082470588,0.104241176
3/19/2015,31.875,373.2399902,556.4622192,42.29000092,39.13000107,3/19/2015,0.093086957,0.056173913,0.0338
3/20/2015,31.47500038,378.4899902,558.8257446,42.88000107,39.61600113,3/20/2015,0.14515,0.05555,0.13066
3/23/2015,31.80249977,375.1099854,557.2799683,42.86000061,39.92599869,3/23/2015,0.054909091,0.099,-0.017336364
3/24/2015,31.67250061,374.0899963,568.6288452,42.90000153,40.34400177,3/24/2015,0.209375,0.08925,0.13490625
3/25/2015,30.84499931,370.9599915,557.2550659,41.45999908,38.86000061,3/25/2015,0.132625,0.0505,0.0681
3/26/2015,31.05999947,367.3500061,553.6499634,41.20999908,38.08200073,3/26/2015,0.16,0.056125,0.10375
3/27/2015,30.8125,370.5599976,546.8386841,40.97000122,37,3/27/2015,0.100214286,0.086142857,0.022271429
3/30/2015,31.59250069,374.5899963,550.5185547,40.95999908,38.11399841,3/30/2015,0.075333333,0.027666667,0.064616667
3/31/2015,31.10750008,372.1000061,546.4995728,40.65999985,37.75400162,3/31/2015,0.122545455,0.035727273,0.128172727
4/1/2015,31.0625,370.2600098,541.0744629,40.72000122,37.51800156,4/1/2015,0.1168125,0.0495,0.08223125
4/2/2015,31.32999992,372.25,534.0637207,40.29000092,38.20000076,4/2/2015,0.0667,0.0714,0.02994
4/6/2015,31.83749962,377.0400085,535.2953491,41.54999924,40.61999893,4/6/2015,0.025491071,0.019464286,0.010896429
4/7/2015,31.50250053,374.4100037,535.5496216,41.52999878,40.65000153,4/7/2015,0.03122973,0.018567568,0.020712162
4/8/2015,31.39999962,381.2000122,540.1270752,41.41999817,41.5340004,4/8/2015,0.030395833,0.04075,-0.013822917
4/9/2015,31.63999939,383.5400085,539.2993774,41.47999954,42.01800156,4/9/2015,0.056711111,0.016977778,0.053035556
4/10/2015,31.77499962,382.6499939,538.5314331,41.72000122,42.18000031,4/10/2015,0.011825688,0.00912844,0.010629358
4/13/2015,31.71249962,382.3599854,537.6937866,41.75999832,41.95600128,4/13/2015,0.026696629,0.004022472,0.029694382
4/14/2015,31.57500076,385.1099854,528.9378052,41.65000153,41.49200058,4/14/2015,0.017733333,0.004533333,0.025884444
4/15/2015,31.69499969,383.4500122,531.0719604,42.25999832,41.56600189,4/15/2015,0.016020833,0.022645833,-0.01649375
4/16/2015,31.54249954,386.0400085,532.3384399,42.15999985,41.34000015,4/16/2015,0.026081081,0.016621622,0.023216216
4/17/2015,31.1875,375.5599976,522.6151733,41.61999893,41.35800171,4/17/2015,0.047342105,0.0505,0.009463158
4/20/2015,31.89999962,389.5100098,533.9141235,42.90999985,41.05400085,4/20/2015,0.107076923,0.060153846,0.057361538
