date,score
2015-01-30,1.104828358248962
2015-01-31,1.1506372739607902
2015-02-01,1.152235576648202
2015-02-02,1.1529736718862973
2015-02-03,1.1557597746724
2015-02-04,1.1512332578769828
2015-02-05,1.1675140749474344
2015-02-06,1.2015883743761604
2015-02-07,1.2594613902491762
2015-02-08,1.254861666301626
2015-02-09,1.2483618331351265
2015-02-10,1.252160251029289
2015-02-11,1.2603045296362543
2015-02-12,1.2882517340960016
2015-02-13,1.3310567475816435
2015-02-14,1.3623097026643858
2015-02-15,1.3851488126344327
2015-02-16,1.3746798698125486
2015-02-17,1.3706095228698614
2015-02-18,1.3764832767042172
2015-02-19,1.3654339761674692
2015-02-20,1.3972657198700857
2015-02-21,1.443925491570078
2015-02-22,1.4332288588854933
2015-02-23,1.4208816191046256
2015-02-24,1.4173998377281074
2015-02-25,1.3956126664160982
2015-02-26,1.40066291045859
2015-02-27,1.4189007184022804
2015-02-28,1.4370250500152437
2015-03-01,1.4120771584006855
2015-03-02,1.3636389467262278
2015-03-03,1.3523830552507927
2015-03-04,1.339608116078043
2015-03-05,1.3278941794570434
2015-03-06,1.3328467539827886
2015-03-07,1.3454415635961317
2015-03-08,1.3186379692443988
2015-03-09,1.2755559702148012
2015-03-10,1.259196160134148
2015-03-11,1.2385225795768462
2015-03-12,1.2436358074704479
2015-03-13,1.2600192661170646
2015-03-14,1.2868576386441268
2015-03-15,1.2691945209810092
2015-03-16,1.2543446711311594
2015-03-17,1.232697303142328
2015-03-18,1.2331684006722492
2015-03-19,1.227392430709796
2015-03-20,1.2433199444457215
2015-03-21,1.2700906482038727
2015-03-22,1.2337076694804687
2015-03-23,1.1809687546829262
2015-03-24,1.159566971077918
2015-03-25,1.1688591203700673
2015-03-26,1.168220438149682
2015-03-27,1.219275687063102
2015-03-28,1.2350457937393577
2015-03-29,1.2411962649775767
2015-03-30,1.238573751198521
2015-03-31,1.247649921111761
2015-04-01,1.2562056254104372
2015-04-02,1.2900175655941915
2015-04-03,1.308596852593028
2015-04-04,1.3162548451580838
2015-04-05,1.3124309680895259
2015-04-06,1.2867125325671687
2015-04-07,1.2893230571798775
2015-04-08,1.287107565170048
2015-04-09,1.2834267749834596
2015-04-10,1.300134851575257
2015-04-11,1.3105709886469084
2015-04-12,1.2832513597875257
2015-04-13,1.241684572336691
2015-04-14,1.2166989806844328
2015-04-15,1.2165127554982076
2015-04-16,1.2158315848170367
2015-04-17,1.2390434438180629
2015-04-18,1.2618579501515697
2015-04-19,1.2316729766810455
2015-04-20,1.23345616482787
2015-04-21,1.230143562536544
2015-04-22,1.2185549919539695
2015-04-23,1.220417549954269
2015-04-24,1.216195630192781
