date,scoreAAPL,closeAAPL,scoreAMZN,closeAMZN,scoreGOOGL,closeGOOGL,scoreMSFT,closeMSFT,scoreTSLA,closeTSLA,dateMarket
1/30/2015,0.728685989,26.64192581,0.447036852,354.5299988,1.104828358,537.5499878,0.70392582,35.80678177,0.548724175,40.72000122,1/30/2015
1/31/2015,0.746180172,26.97619438,0.458761972,364.4700012,1.150637274,532.2000122,0.701031784,36.58673477,0.535457177,42.18799973,2/2/2015
2/1/2015,0.742374733,26.98074532,0.46606168,363.5499878,1.152235577,533.2999878,0.699677067,36.87034607,0.540670059,43.67200089,2/3/2015
2/2/2015,0.733710915,27.18767738,0.469114714,364.75,1.152973672,526.0999756,0.685737807,37.08306503,0.546343818,43.70999908,2/4/2015
2/3/2015,0.732151057,27.38173485,0.465735348,373.8900146,1.155759775,529.8300171,0.68113484,37.623703,0.534614107,44.19800186,2/5/2015
2/4/2015,0.731614406,27.15115356,0.46961192,374.2799988,1.151233258,533.8800049,0.674180249,37.58824539,0.532737517,43.47200012,2/6/2015
2/5/2015,0.727310736,27.33150864,0.485154992,370.5599976,1.167514075,529.2800293,0.692848059,37.54394531,0.533308243,43.49599838,2/9/2015
2/6/2015,0.730656469,27.85658264,0.491659651,373,1.201588374,540.1599731,0.657244028,37.75665665,0.544925521,43.25799942,2/10/2015
2/7/2015,0.734274887,28.50951195,0.499305799,375.1400146,1.25946139,538,0.649451601,37.56167221,0.549473656,42.56000137,2/11/2015
2/8/2015,0.725579077,28.87021255,0.53063951,377.1700134,1.254861666,546.0100098,0.645570746,38.19094467,0.558515139,40.57600021,2/12/2015
2/9/2015,0.703333468,29.0117588,0.526110525,381.8299866,1.248361833,551.1599731,0.620907932,38.88225937,0.517691058,40.75400162,2/13/2015
2/10/2015,0.702495601,29.18297958,0.501096987,375.4299927,1.252160251,545.0100098,0.61876513,38.90011597,0.500141796,40.86999893,2/17/2015
2/11/2015,0.698397771,29.38616562,0.492813992,373.3699951,1.26030453,542.6500244,0.607091295,38.85548401,0.496012883,40.89199829,2/18/2015
2/12/2015,0.704708448,29.3245182,0.492332034,379,1.288251734,546.4500122,0.600310249,38.8286972,0.499564444,42.34199905,2/19/2015
2/13/2015,0.719672034,29.56423187,0.488542351,383.6600037,1.331056748,541.7999878,0.588903434,39.1500473,0.490322303,43.42200089,2/20/2015
2/14/2015,0.738573784,30.3632679,0.492483085,380.1400146,1.362309703,535,0.585836187,39.40890884,0.486933275,41.4679985,2/23/2015
2/16/2015,0.726504352,30.17378044,0.49731896,378.5899963,1.385148813,538.6500244,0.59002722,39.35534286,0.480813459,40.8219986,2/24/2015
2/17/2015,0.729095384,29.40213776,0.50503819,385.3699951,1.37467987,547.3300171,0.589282078,39.26607895,0.47527384,40.7519989,2/25/2015
2/18/2015,0.717199864,29.7742691,0.50231308,384.7999878,1.370609523,559.289978,0.603090618,39.3285675,0.466410075,41.43799973,2/26/2015
2/19/2015,0.712842109,29.32680893,0.495249295,380.1600037,1.376483277,562.6300049,0.585863096,39.14110947,0.45950255,40.66799927,2/27/2015
2/20/2015,0.713385319,29.47062492,0.484986825,385.6600037,1.365433976,575.0200195,0.577670753,39.16789627,0.453118083,39.4659996,3/2/2015
2/21/2015,0.727872038,29.53227043,0.482425429,384.6099854,1.39726572,578.789978,0.560798958,38.63232422,0.460797335,39.91199875,3/3/2015
2/22/2015,0.73181336,29.34506416,0.485831886,382.7200012,1.443925492,578.3300171,0.545548414,38.43594742,0.46205099,40.48799896,3/4/2015
2/23/2015,0.727519169,28.8588028,0.502729808,387.8299866,1.433228859,581.4299927,0.546165941,38.48058701,0.455752379,40.12599945,3/5/2015
2/24/2015,0.717999375,28.90217781,0.510106981,380.0899963,1.420881619,572.9000244,0.517486784,37.81113052,0.453085045,38.77600098,3/6/2015
2/25/2015,0.723722934,29.02545547,0.511524214,378.5599976,1.417399838,574.0999756,0.513522466,38.24850845,0.437644389,38.17599869,3/9/2015
2/26/2015,0.72231743,28.42503738,0.503973877,369.5100098,1.395612666,559.8499756,0.520965528,37.5165596,0.434613702,38.06399918,3/10/2015
2/27/2015,0.749340564,27.90680885,0.495403289,366.3699951,1.40066291,555.6900024,0.513100043,37.47193909,0.428907997,38.7480011,3/11/2015
2/28/2015,0.778311252,28.4113369,0.491064998,374.2399902,1.418900718,561.1699829,0.524610191,36.61502457,0.416352028,38.2140007,3/12/2015
3/1/2015,0.787038589,28.21500587,0.477694938,370.5799866,1.43702505,553,0.539083221,36.93636703,0.413670129,37.73600006,3/13/2015
3/2/2015,0.786220996,28.52548409,0.475455161,373.3500061,1.412077158,561.6400146,0.531858533,37.09702301,0.413602584,39.13999939,3/16/2015
3/3/2015,0.777841219,29.00262642,0.482754632,371.9200134,1.363638947,557.6099854,0.544799681,37.22199631,0.414457285,38.94599915,3/17/2015
3/4/2015,0.780522629,29.32909012,0.469312972,375.1400146,1.352383055,566.1599731,0.537012128,37.93609238,0.40323525,40.14199829,3/18/2015
3/5/2015,0.78350437,29.10764122,0.467998366,373.2399902,1.339608116,563.6699829,0.539469614,37.74863815,0.391496252,39.13000107,3/19/2015
3/6/2015,0.802808822,28.74237061,0.464842972,378.4899902,1.327894179,564.9500122,0.538285544,38.27528,0.380569925,39.61600113,3/20/2015
3/7/2015,0.825727029,29.04143524,0.456280018,375.1099854,1.332846754,565.3699951,0.526551077,38.25743103,0.371257852,39.92599869,3/23/2015
3/8/2015,0.837671511,28.92271996,0.467125836,374.0899963,1.345441564,577.539978,0.50030751,38.29313278,0.36494872,40.34400177,3/24/2015
