date,score
2015-01-30,0.7286859888108221
2015-01-31,0.7461801724100154
2015-02-01,0.7423747331054298
2015-02-02,0.7337109149272586
2015-02-03,0.7321510573627372
2015-02-04,0.7316144060825069
2015-02-05,0.7273107364955108
2015-02-06,0.7306564694375169
2015-02-07,0.7342748865013123
2015-02-08,0.7255790765316169
2015-02-09,0.7033334681168592
2015-02-10,0.7024956007184822
2015-02-11,0.6983977711104484
2015-02-12,0.7047084483509354
2015-02-13,0.7196720341478543
2015-02-14,0.7385737841716634
2015-02-16,0.7265043518403627
2015-02-17,0.7290953842138406
2015-02-18,0.7171998638761486
2015-02-19,0.7128421087276746
2015-02-20,0.7133853186042178
2015-02-21,0.7278720382380757
2015-02-22,0.7318133596402656
2015-02-23,0.7275191687230348
2015-02-24,0.7179993754626433
2015-02-25,0.7237229338266039
2015-02-26,0.7223174296274618
2015-02-27,0.7493405637260676
2015-02-28,0.7783112515700817
2015-03-01,0.7870385892388174
2015-03-02,0.7862209957074693
2015-03-03,0.777841219170926
2015-03-04,0.7805226289988154
2015-03-05,0.7835043698959069
2015-03-06,0.80280882174586
2015-03-07,0.8257270286092927
2015-03-08,0.8376715106722664
2015-03-09,0.8357221646543239
2015-03-10,0.8341639453318985
2015-03-11,0.844368966594795
2015-03-12,0.8616203131420515
2015-03-13,0.8908704917539322
2015-03-14,0.8974606303109738
2015-03-15,0.9101194342270252
2015-03-16,0.9168460713527234
2015-03-17,0.9194858590414713
2015-03-18,0.937937519814651
2015-03-19,0.9493331510114879
2015-03-20,0.9844293079971541
2015-03-21,1.0264201170551053
2015-03-22,1.0359395950823553
2015-03-23,1.0481606835717467
2015-03-24,1.0623482160549298
2015-03-26,1.0853477478237303
2015-03-27,1.124442935392628
2015-03-28,1.167220641022889
2015-03-29,1.1901746434123752
2015-03-30,1.1801558491684887
2015-03-31,1.171115089396195
2015-04-01,1.1771714225254732
2015-04-02,1.2030877846683379
2015-04-03,1.2569147870868895
2015-04-04,1.2969067000064558
2015-04-05,1.3257547678216801
