date,score
2015-01-30,0.4470368516854355
2015-01-31,0.45876197203124547
2015-02-01,0.4660616803860233
2015-02-02,0.46911471367987784
2015-02-03,0.46573534777151376
2015-02-04,0.46961192046590483
2015-02-05,0.4851549916269535
2015-02-06,0.4916596514997869
2015-02-07,0.4993057993898373
2015-02-08,0.5306395100104749
2015-02-09,0.5261105245032286
2015-02-10,0.5010969873157782
2015-02-11,0.49281399169112344
2015-02-12,0.4923320339219642
2015-02-13,0.4885423513822816
2015-02-14,0.4924830847842047
2015-02-15,0.49731896001171993
2015-02-16,0.5050381900331082
2015-02-17,0.5023130798885479
2015-02-18,0.4952492947043516
2015-02-19,0.4849868251722191
2015-02-20,0.48242542932675214
2015-02-21,0.48583188554219714
2015-02-22,0.5027298075016786
2015-02-23,0.5101069805931374
2015-02-24,0.5115242141532281
2015-02-25,0.5039738767713118
2015-02-26,0.4954032892286296
2015-02-27,0.4910649978480041
2015-02-28,0.47769493800281154
2015-03-01,0.4754551606789299
2015-03-02,0.48275463229558213
2015-03-03,0.46931297183085047
2015-03-04,0.4679983658666907
2015-03-05,0.46484297161265686
2015-03-06,0.45628001832585985
2015-03-07,0.46712583605370006
2015-03-08,0.45740518869775737
2015-03-09,0.447469579233846
2015-03-10,0.4309437215789561
2015-03-11,0.42773766435115973
2015-03-12,0.4322141694411618
2015-03-13,0.4328079616139014
2015-03-14,0.4391075561272203
2015-03-15,0.4344232126928769
2015-03-16,0.44746911584280774
2015-03-17,0.46742610864737316
2015-03-18,0.4742513526775011
2015-03-19,0.4884330454551147
2015-03-20,0.49865119921493506
2015-03-21,0.5082577477303218
2015-03-22,0.5131992622899411
2015-03-23,0.49866807005705616
2015-03-24,0.4812099240079389
2015-03-25,0.4851708632223343
2015-03-26,0.48298832353979465
2015-03-27,0.5203716568731279
2015-03-28,0.5205072230613257
2015-03-29,0.5143724263819955
2015-03-30,0.5178703015045846
2015-03-31,0.5175289308365351
2015-04-01,0.5028007729530224
2015-04-02,0.5027186009284043
2015-04-03,0.4955880167359644
2015-04-04,0.501197929902278
2015-04-05,0.5228963659840005
2015-04-06,0.531346186772531
2015-04-07,0.5432474088053845
2015-04-08,0.5443834150946926
2015-04-09,0.5475003880249435
2015-04-10,0.5467767841434449
2015-04-11,0.5340218907750546
2015-04-12,0.5265199867384971
2015-04-13,0.5223143530147911
2015-04-14,0.5310964487816197
2015-04-15,0.5277263929971328
2015-04-16,0.5186562659212234
2015-04-17,0.5005788471602918
2015-04-18,0.4791856583058027
2015-04-19,0.46592367200443274
2015-04-20,0.4521807277186988
2015-04-21,0.45511862178959783
2015-04-22,0.465191242736231
2015-04-23,0.4778415181574042
2015-04-24,0.47425677526681054
2015-04-25,0.46772149276002545
2015-04-26,0.4296566779452106
2015-04-27,0.44061188216128444
2015-04-28,0.434576604937169
2015-04-29,0.4400027927394197
2015-04-30,0.4529942557720012
2015-05-01,0.46393029554621523
2015-05-02,0.4860748176907374
2015-05-03,0.4977968093919822
2015-05-04,0.5006027448527849
2015-05-05,0.4869609810085919
2015-05-06,0.47381924102814227
2015-05-07,0.468812653412859
2015-05-08,0.47345726125599624
2015-05-09,0.48670933594479293
2015-05-10,0.4891270903680257
2015-05-11,0.5052006074941745
2015-05-12,0.5160241898524103
2015-05-13,0.5050032456225108
2015-05-14,0.5048717498150069
2015-05-15,0.49599338435557044
2015-05-16,0.4926113213227226
2015-05-17,0.5061582236517294
2015-05-18,0.5199571440295971
2015-05-19,0.5216692219060586
2015-05-20,0.532568419235186
2015-05-21,0.5326115260938147
2015-05-22,0.5383565328140348
2015-05-23,0.5408286221282294
2015-05-24,0.5395040172439232
2015-05-25,0.5335477031120528
2015-05-26,0.5432560364453861
2015-05-27,0.5399603321124625
2015-05-28,0.548997113507233
2015-05-29,0.5535183532588797
2015-05-30,0.5444433268875717
2015-05-31,0.5466238040680488
2015-06-01,0.5325642137514752
2015-06-02,0.5308642484819485
2015-06-03,0.5320493388219684
2015-06-04,0.5279798959281423
2015-06-05,0.5535697479365991
2015-06-06,0.5633127475530164
2015-06-07,0.5663647027983914
2015-06-08,0.5552567918920933
2015-06-09,0.5604327051824483
2015-06-10,0.5586211840424334
2015-06-11,0.5568250326172018
2015-06-12,0.5592504057515303
2015-06-13,0.5558441850688428
2015-06-14,0.5600416994644497
2015-06-15,0.5546572418792054
2015-06-16,0.5531589979167159
2015-06-17,0.5600522188510326
2015-06-18,0.5696593932857933
2015-06-19,0.5631274859049895
2015-06-20,0.558522902209022
2015-06-21,0.556786830930677
2015-06-22,0.5509837991426407
2015-06-23,0.5533683377107039
2015-06-24,0.5674912354053466
2015-06-25,0.5623479464552396
2015-06-26,0.5544004225620205
2015-06-27,0.5531693663004554
2015-06-28,0.5492141349561456
2015-06-29,0.5484767624601397
2015-06-30,0.5430228413812187
2015-07-01,0.5431583810648808
2015-07-02,0.5448541068681563
2015-07-03,0.5441198483760271
2015-07-04,0.5552105064524191
2015-07-05,0.533794331513162
2015-07-06,0.52725372621025
2015-07-07,0.5310961416163614
2015-07-08,0.5332035078603501
2015-07-09,0.5278012691324496
2015-07-10,0.5246918705489132
2015-07-11,0.5265434543466502
2015-07-12,0.5390628793660752
2015-07-13,0.550100197519143
2015-07-14,0.5617105181909439
2015-07-15,0.570815324881209
2015-07-16,0.5709463532041824
2015-07-17,0.5599842106477525
2015-07-18,0.5790386310284329
2015-07-19,0.5837688129921903
2015-07-20,0.5942057329821577
2015-07-21,0.6000206600291249
2015-07-22,0.6125919666709623
2015-07-23,0.6268355562046498
2015-07-24,0.6335476772632711
2015-07-25,0.64939393892293
2015-07-26,0.6570397877565769
2015-07-27,0.6608165101719272
2015-07-28,0.660733468959854
2015-07-29,0.6643374128985038
2015-07-30,0.665643432698376
2015-07-31,0.6588823713418276
2015-08-01,0.6540514115596642
2015-08-02,0.6517968279080217
2015-08-03,0.6455550235544943
2015-08-04,0.6405691504508765
2015-08-05,0.638215240985856
2015-08-06,0.6306093978404044
2015-08-07,0.6291932758360471
2015-08-08,0.6199419749483825
2015-08-09,0.6211038847440132
2015-08-10,0.620170103667072
2015-08-11,0.6094551405899044
2015-08-12,0.5943624803464663
2015-08-13,0.5802495991397553
2015-08-14,0.5815383400578878
2015-08-15,0.6022293774155919
2015-08-16,0.6037884709557945
2015-08-17,0.5755932518698873
